id,nom,type,cuisine,origine,temps_preparation,temps_cuisson,nb_personnes,nombre_etapes,instructions,methodes_cuisson,ustensiles,image_path,calories,valeur_nutritionnelle,empreinte_carbone
1,Morue au gratin,['Dîner'],['Canadien'],Amérique du Nord,20.0,25.0,6,4,"Préchauffez le four à 175 °C (thermostat 6). Graissez un plat allant au four de 20 x 30 cm. Portez à ébullition une grande casserole d'eau légèrement salée. Ajoutez les filets de cabillaud et faites-les cuire 4 à 6 minutes, puis égouttez-les. Faites fondre la margarine dans une casserole moyenne. Retirez du feu et incorporez la farine et le lait. Remettez sur le feu à température moyenne et remuez jusqu'à épaississement. Salez et poivrez. Émiettez le poisson dans le plat en alternant les couches avec la sauce. Parsemez de fromage râpé. Enfournez pendant 20 à 25 minutes, ou jusqu'à ce que le fromage soit doré.","['bouillir', 'cuire']","['plat à four', 'casserole', 'four', 'pot']",https://www.allrecipes.com/recipe/38276/cod-au-gratin/,380 kcal,"""{""""Carbohydrates"""": """"10 g"""", """"Cholesterol"""": """"108 mg"""", """"Fiber"""": """"0 g"""", """"Protein"""": """"39 g"""", """"Saturated Fat"""": """"9 g"""", """"Sodium"""": """"391 mg"""", """"Sugar"""": """"4 g"""", """"Fat"""": """"19 g"""", """"Unsaturated Fat"""": """"0 g""""}""",17.11
2,Gruau de randonnée,['Petit-déjeuner'],['Américain'],Amérique du Nord,5.0,5.0,2,2,"Avant votre départ, mélangez les flocons d'avoine, les graines de chia, les amandes, la cassonade, le beurre de cacahuète en poudre, la cannelle, le cacao en poudre et le sel dans un sac de congélation refermable. Au moment de la cuisson, portez l'eau à ébullition dans une casserole. Versez le mélange d'avoine dans la casserole et remuez brièvement. Retirez du feu. Couvrez et laissez reposer jusqu'à ce que l'eau soit complètement absorbée, environ 5 minutes. Incorporez le beurre de cacahuète.",['bouillir'],['pot'],https://www.allrecipes.com/recipe/280401/backpacking-oatmeal/,389 kcal,"""{""""Carbohydrates"""": """"48 g"""", """"Cholesterol"""": """""""", """"Fiber"""": """"11 g"""", """"Protein"""": """"13 g"""", """"Saturated Fat"""": """"3 g"""", """"Sodium"""": """"283 mg"""", """"Sugar"""": """"11 g"""", """"Fat"""": """"18 g"""", """"Unsaturated Fat"""": """"0 g""""}""",24.83
3,Poulet frit à l'air croustillant,['Dîner'],['Américain'],Amérique du Nord,10.0,40.0,2,3,"Dans un petit bol, mélanger le paprika, le sel, la poudre d'oignon, la poudre d'ail, la marjolaine, la sauge, le poivre et la noix de muscade. Enduire les filets de poulet de ce mélange d'épices, en insérant la peau sous la peau. Préchauffer la friteuse à air chaud à 200 °C (400 °F) selon les instructions du fabricant. Dans un petit bol, mélanger l'huile de coco, le xérès et le jus de citron vert. Réserver. Placer le poulet, poitrine vers le bas, dans le panier de la friteuse à air chaud et cuire 15 minutes. Badigeonner le poulet avec l'huile réservée. Retourner le poulet, baisser la température à 182 °C (360 °F) et poursuivre la cuisson 15 minutes. Badigeonner à nouveau le poulet avec l'huile restante et cuire jusqu'à ce que la chair ne soit plus rosée près de l'os et que le jus soit clair, soit 6 à 12 minutes supplémentaires. La température à cœur, mesurée à l'aide d'un thermomètre à lecture instantanée inséré près de l'os, doit atteindre au moins 74 °C (165 °F).",['réduire'],['thermomètre'],https://www.allrecipes.com/recipe/281603/crispy-air-fried-chicken/,436 kcal,"""{""""Carbohydrates"""": """"4 g"""", """"Cholesterol"""": """"128 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"46 g"""", """"Saturated Fat"""": """"15 g"""", """"Sodium"""": """"735 mg"""", """"Sugar"""": """"1 g"""", """"Fat"""": """"26 g"""", """"Unsaturated Fat"""": """"0 g""""}""",26.25
4,Scones aux fraises fraîches,['Pain'],['Américain'],Amérique du Nord,30.0,20.0,8,6,"Préchauffez le four à 220 °C (thermostat 6). Tapissez une plaque de cuisson de papier sulfurisé. Déposez les fraises coupées en dés sur du papier absorbant pour éliminer le liquide. Mélangez la crème et l'extrait de vanille dans un petit pichet ou un verre doseur. Dans un saladier, fouettez la farine, le sucre, la levure chimique, le zeste de citron, le sel et la noix de muscade. Incorporez le beurre à l'aide d'un coupe-pâte ou de deux couteaux jusqu'à obtenir une texture sableuse. Ajoutez les fraises et mélangez délicatement. Formez un puits au centre du mélange de farine. Versez-y le mélange de crème et remuez rapidement jusqu'à ce que la pâte soit homogène. Laissez reposer la pâte 2 minutes. Déposez la pâte sur un plan de travail légèrement fariné et pétrissez-la jusqu'à ce qu'elle soit lisse et satinée, pendant 4 à 5 minutes. Transférez la pâte sur la plaque de cuisson préparée et aplatissez-la en un disque de 20 cm de diamètre. Découpez-le en huit parts égales à l'aide d'un couteau à pain. Disposez les parts sur la plaque de cuisson en les espaçant d'au moins 1,25 cm. Séparer.\nFaire cuire au four préchauffé jusqu'à ce que le dessus soit légèrement doré et croustillant, de 16 à 18 minutes. Transférer sur une grille et laisser refroidir 20 minutes avant de servir.",['cuire'],"['couteau', 'four', 'verre à mesurer', 'mixeur', 'plaque de cuisson', 'fouet']",https://www.allrecipes.com/recipe/143360/fresh-strawberry-scones/,232 kcal,"""{""""Carbohydrates"""": """"34 g"""", """"Cholesterol"""": """"23 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"4 g"""", """"Saturated Fat"""": """"6 g"""", """"Sodium"""": """"390 mg"""", """"Sugar"""": """"10 g"""", """"Fat"""": """"9 g"""", """"Unsaturated Fat"""": """"0 g""""}""",26.87
5,Dinde juteuse de Thanksgiving,['Dîner'],['Américain'],Amérique du Nord,20.0,180.0,10,8,"Rassemblez tous les ingrédients. Préchauffez le four à 175 °C (350 °F). Tapissez un plat à rôtir de feuilles de papier aluminium suffisamment grandes pour envelopper la dinde. Dans un petit bol, mélangez le persil, le romarin, la sauge, le thym, l'assaisonnement citron-poivre et le sel. Frottez l'intérieur de la dinde avec ce mélange d'herbes, puis farcissez-la de quartiers d'orange, d'oignon, de carotte et de céleri. Ficelez les cuisses de la dinde, puis repliez les ailes sous le corps. Placez la dinde sur le papier aluminium dans le plat à rôtir. Versez le champagne et le bouillon de poulet sur la dinde, en veillant à ce qu'un peu de liquide pénètre dans la cavité. Rabattez le papier aluminium sur la dinde et scellez-le en évitant qu'il ne touche la chair. Faites rôtir la dinde au four préchauffé jusqu'à ce que le jus soit clair, pendant 2 h 30 à 3 h. Retirez le papier aluminium et poursuivez la cuisson jusqu'à ce que la peau soit bien dorée, pendant 30 à 60 minutes supplémentaires. La température à cœur, mesurée à l'aide d'un thermomètre à lecture instantanée inséré dans la partie la plus épaisse de la cuisse, près de l'os, doit atteindre [température manquante]. 180 degrés F (80 degrés C). Retirez la dinde du four, couvrez-la de deux feuilles de papier d'aluminium et laissez-la reposer dans un endroit chaud pendant 10 à 15 minutes avant de la découper. Servez et dégustez !",['rôti'],"['plat à rôtir', 'thermomètre', 'four', 'plat']",https://www.allrecipes.com/recipe/166160/juicy-thanksgiving-turkey/,556 kcal,"""{""""Carbohydrates"""": """"4 g"""", """"Cholesterol"""": """"201 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"69 g"""", """"Saturated Fat"""": """"7 g"""", """"Sodium"""": """"680 mg"""", """"Sugar"""": """"2 g"""", """"Fat"""": """"24 g"""", """"Unsaturated Fat"""": """"0 g""""}""",34.08
6,Nuggets de poulet maison,['Dîner'],['Américain'],Amérique du Nord,20.0,20.0,6,7,"Rassemblez tous les ingrédients. Préchauffez le four à 200 °C (thermostat 6). Coupez les blancs de poulet en morceaux de 4 cm environ. Mélangez bien la chapelure, le parmesan, le basilic, le thym et le sel dans un saladier. Versez le beurre fondu dans un bol. Trempez d'abord les morceaux de poulet dans le beurre fondu, puis enrobez-les du mélange de chapelure. Disposez les morceaux de poulet panés en une seule couche sur une plaque de cuisson légèrement graissée. Faites cuire au four préchauffé jusqu'à ce qu'ils soient dorés et que le poulet soit bien cuit, environ 20 minutes. Servez et dégustez !",['cuire'],['four'],https://www.allrecipes.com/recipe/8849/baked-chicken-nuggets/,308 kcal,"""{""""Carbohydrates"""": """"15 g"""", """"Cholesterol"""": """"81 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"19 g"""", """"Saturated Fat"""": """"11 g"""", """"Sodium"""": """"989 mg"""", """"Sugar"""": """"1 g"""", """"Fat"""": """"19 g"""", """"Unsaturated Fat"""": """"0 g""""}""",21.79
7,Crumble aux mûres de grand-mère,['Dessert'],['États Unis'],Amérique du Nord,15.0,40.0,12,5,"Préchauffez le four à 175 °C (thermostat 6). Dans un petit bol, fouettez 375 g de sucre, la fécule de maïs et une pincée de sel. Dans un grand bol, fouettez la farine, les 375 g de sucre restants, la levure chimique et le reste du sel. Incorporez le beurre ramolli jusqu'à obtenir une texture sableuse, puis ajoutez le lait en remuant jusqu'à ce que la pâte soit homogène. Répartissez les mûres en une couche uniforme au fond d'un plat allant au four de 23 x 33 cm. Versez la pâte par-dessus. Saupoudrez du mélange sucre-fécule de maïs, puis versez l'eau bouillante. Faites cuire au four préchauffé jusqu'à ce que les fruits soient bien chauds et que le dessus soit doré, soit environ 40 à 45 minutes.",['cuire'],"['fouet', 'four', 'plat à four']",https://www.allrecipes.com/recipe/218007/grandmas-blackberry-cobbler/,453 kcal,"""{""""Carbohydrates"""": """"76 g"""", """"Cholesterol"""": """"42 mg"""", """"Fiber"""": """"4 g"""", """"Protein"""": """"4 g"""", """"Saturated Fat"""": """"10 g"""", """"Sodium"""": """"201 mg"""", """"Sugar"""": """"55 g"""", """"Fat"""": """"16 g"""", """"Unsaturated Fat"""": """"0 g""""}""",12.6
8,Véritable tarte à la citrouille,['Dessert'],"['États Unis', 'Américain']",Amérique du Nord,15.0,85.0,16,6,"Préchauffez le four à 165 °C (325 °F). Recouvrez une plaque de cuisson de papier aluminium légèrement huilé. Disposez les moitiés de citrouille sur la plaque, face coupée vers le bas. Faites cuire au four préchauffé jusqu'à ce que la chair soit tendre, environ 40 minutes. Laissez refroidir. Augmentez la température du four à 220 °C (425 °F). Récupérez la chair de la citrouille et mettez-la dans un grand saladier. Ajoutez les œufs, la crème épaisse, la crème fraîche, le sucre demerara, la farine, le mélange d'épices pour tarte à la citrouille et le sel. Battez jusqu'à obtenir une pâte lisse. Versez la préparation dans les fonds de tarte. Faites cuire au four préchauffé jusqu'à ce qu'un cure-dent inséré au centre en ressorte propre, environ 45 minutes.",['cuire'],"['plaque de cuisson', 'four']",https://www.allrecipes.com/recipe/229594/fresh-sugar-pumpkin-pie/,364 kcal,"""{""""Carbohydrates"""": """"50 g"""", """"Cholesterol"""": """"68 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"5 g"""", """"Saturated Fat"""": """"8 g"""", """"Sodium"""": """"333 mg"""", """"Sugar"""": """"27 g"""", """"Fat"""": """"17 g"""", """"Unsaturated Fat"""": """"0 g""""}""",21.03
9,Côtelettes de porc cuites au four avec sauce,['Dîner'],['Américain'],Amérique du Nord,10.0,45.0,4,7,"Rassemblez tous les ingrédients. Préchauffez le four à 175 °C (350 °F). Assaisonnez les côtelettes de porc avec du sel et du poivre. Faites fondre le beurre dans une grande poêle à feu moyen-vif, ajoutez les côtelettes et faites-les revenir environ 5 minutes de chaque côté. Mélangez le lait, l'eau et la soupe condensée dans un bol moyen. Disposez les côtelettes dans un plat allant au four de 23 x 33 cm (9 x 13 pouces) et versez la préparation à base de soupe dessus. Enfournez pendant 45 minutes. La température à cœur, mesurée à l'aide d'un thermomètre à lecture instantanée, doit atteindre 63 °C (145 °F). Servez chaud et régalez-vous !","['cuire au four', 'sauter']","['plat à four', 'poêle', 'thermomètre', 'four']",https://www.allrecipes.com/recipe/17546/gravy-baked-pork-chops/,234 kcal,"""{""""Carbohydrates"""": """"7 g"""", """"Cholesterol"""": """"76 mg"""", """"Fiber"""": """""""", """"Protein"""": """"23 g"""", """"Saturated Fat"""": """"5 g"""", """"Sodium"""": """"587 mg"""", """"Sugar"""": """"3 g"""", """"Fat"""": """"12 g"""", """"Unsaturated Fat"""": """"0 g""""}""",28.65
10,Pain brioché à la cannelle,['Petit-déjeuner'],['Américain'],Amérique du Nord,10.0,20.0,8,4,"Préchauffez le four à 200 °C (thermostat 6). Graissez un moule à cake de 23 x 13 cm. Mélangez le sucre et la cannelle dans un bol. Réservez le sachet de glaçage. Coupez les brioches à la cannelle en quatre. Trempez les morceaux dans le beurre fondu, enrobez-les du mélange sucre-cannelle et disposez-les dans le moule préparé. Faites cuire au four préchauffé jusqu'à ce que la pâte soit levée et le dessus doré, pendant 20 à 25 minutes. Nappez de glaçage et laissez refroidir dans le moule pendant 5 minutes. Démoulez le gâteau sur une assiette et servez-le chaud.",['cuire'],"['four', 'poêle']",https://www.allrecipes.com/recipe/284760/cinnamon-roll-monkey-bread/,246 kcal,"""{""""Carbohydrates"""": """"35 g"""", """"Cholesterol"""": """"15 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"2 g"""", """"Saturated Fat"""": """"5 g"""", """"Sodium"""": """"337 mg"""", """"Sugar"""": """"13 g"""", """"Fat"""": """"11 g"""", """"Unsaturated Fat"""": """"0 g""""}""",5.37
